Date	Weight
2017-04-04	0
2017-04-05	1.096
2017-04-06	1.718
2017-04-07	1.028
2017-04-08	1.808
2017-04-09	3.081
2017-04-13	1.202
2017-04-14	0.592
2017-04-18	1.588
2017-04-19	2.328
2017-04-20	3.162
2017-04-21	1.612
2017-04-22	1.056
2017-04-23	2.406
2017-04-24	0.857
2017-04-25	1.111
2017-04-26	1.111
2017-04-27	0.57
2017-04-28	1.182
2017-04-30	1.032
2017-05-01	3.201
2017-05-03	1.901
2017-05-04	0.528
2017-05-06	0.511
2017-05-07	1.382
2017-05-08	0.839
2017-05-16	3
2017-05-18	2.36
2017-05-19	2.36
2017-05-20	4.133
2017-05-21	1.666
2017-05-23	3.147
2017-05-25	0.621
2017-05-30	1.919
2017-05-31	4.261
2017-06-02	2.624
2017-06-03	1.542
2017-06-04	2.401
2017-06-05	5.786
2017-06-06	0.802
2017-06-07	0.852
2017-06-08	0.556
2017-06-10	1.082
2017-06-12	4.66
2017-06-13	2.11
2017-06-15	2.25
2017-06-16	1.701
2017-06-18	7.534
2017-06-19	6.558
2017-06-21	4.468
2017-06-22	4.885
2017-06-24	8.03
2017-06-25	5.132
2017-06-27	0.843
2017-06-28	2.814
2017-07-02	2.508
2017-07-03	3.002
2017-07-05	3.077
2017-07-06	5.931
2017-07-07	4.009
2017-07-08	3.2008
2017-07-09	3.208
2017-07-10	6.472
2017-07-11	3.684
2017-07-12	1.58
2017-07-13	1.739
2017-07-14	1.365
2017-07-15	2.024
2017-07-17	2.619
2017-07-18	7.17
2017-07-20	7.399
2017-07-21	1.692
2017-07-22	3.581
2017-07-23	2.735
2017-07-24	4.535
2017-07-25	1.834
2017-07-26	7.385
2017-07-28	2.85
2017-07-30	1.304
2017-07-31	6.942
2017-08-02	6.681
2017-08-03	7.265
2017-08-04	1.67
2017-08-05	2.055
2017-08-06	4.108
2017-08-07	7.937
2017-08-08	3.219
2017-08-14	2.087
2017-08-15	2.609
2017-08-16	1.112
2017-08-17	2.36
2017-08-18	1.097
2017-08-20	3.331
2017-08-21	1.396
2017-08-22	0.388
2017-08-25	3.082
2017-08-27	5.926
2017-08-28	5.196
2017-08-29	3.552
2017-08-31	0.501
2017-09-02	2.211
2017-09-05	2.805
2017-09-06	2.196
2017-09-08	1.212
2017-09-09	3.349
2017-09-11	4.426
2017-09-12	1.041
2017-09-13	0.592
2017-09-17	1.537
2017-09-18	1.632
2017-09-22	1.361
2017-09-24	1.056
2017-09-25	0.983
2017-09-26	0.722
2017-09-30	3.968
2017-10-04	0.983
2017-10-05	2.783
2017-10-06	1.277
2017-10-08	2.324
2017-10-11	2.574
2017-10-12	3.222
2017-10-13	1.027
2017-10-15	2.489
2017-10-16	2.064
2017-10-18	1.355
2017-10-20	1.446
2017-10-22	9.439
2017-10-23	2.897
2017-10-25	5.904
2017-10-26	1.43
2017-10-29	1.993
2017-10-31	1.196
2017-11-02	1.857
2017-11-03	0.985
2017-11-05	4.510
