Date	Weight	Deviation
2017-05-04	500	100
2017-05-08	7.4	0.3
2017-05-13	6.4	0.3
2017-05-21	8.7	0.27
2017-06-06	16.8	0.7
2017-06-07	14.4	0.6
2017-06-18	13.7	0.6
2017-06-25	16.3	0.7
2017-07-02	17	0
2017-07-09	17	0
2017-07-26	20	0
2017-08-11	19	0
2017-08-23	12	0
2017-09-03	27	0
2017-09-11	15	0
2017-09-16	60	0
2017-09-25	17	0
2017-10-02	10	0
2017-10-27	70	0
2017-11-05	17.5	0
2017-11-12	36	0
2017-11-30	28	0
2017-12-05	24	0
2017-12-10	84	1
2017-12-11	53	1
2017-12-15	176	5
2017-12-16	140	1
2018-01-01	206	0
2018-01-03	25	0
2018-01-04	34	0
2018-01-07	36	0
2018-01-11	21	0
2018-01-13	23	0
2018-01-27	41.5	2
2018-02-10	75	2
2018-02-16	21	1
2018-03-03	22	0
2018-03-10	106	2
2018-03-18	53	0
2018-03-26	16	0
2018-04-06	15	0
2018-04-14	32	1
2018-04-29	16	2
2018-05-17	20	4
2018-05-27	13	0
2018-06-05	9	0
2018-06-23	20	0
2018-07-14	19.5	0.5
2018-07-26	14.5	0
2018-08-07	8	0
2018-08-19	14	2
2018-09-13	17.5	1
2018-09-15	30	0
2018-09-30	8	0
2018-10-14	23	0
2018-10-26	25.5	0
2018-11-10	11	0
2018-11-29	20	1
2018-12-14	30	1
2019-01-01	34	0
2019-01-08	20	0
2019-01-28	34	0
2019-02-18	24	1
2019-03-05	23	0.5
2019-03-26	13	1
2019-03-31	40	1
2019-04-02	10	1
2019-04-07	15	0.5
2019-04-21	34	1
2019-04-28	24	0
2019-05-05	17	0
2019-05-12	12	1
2019-05-14	24.5	0
2019-05-16	12	0
2019-05-20	8	0
2019-05-26	7	0
2019-06-05	21	0
2019-06-13	11.5	0
2019-06-16	5.5	0
2019-06-18	9.5	0.5
2019-06-23	12	0
2019-07-02	7	0
2019-07-05	29	1
2019-07-10	15	0
2019-07-14	5	0
